"key","household"
"台中市烏日區烏日里",3345
"台中市烏日區螺潭里",734
"台中市石岡區九房里",475
"台中市石岡區和盛里",530
"台中市石岡區土牛里",388
"台中市石岡區德興里",572
"台中市石岡區梅子里",692
"台中市石岡區石岡里",470
"台中市石岡區萬安里",577
"台中市石岡區萬興里",528
"台中市石岡區金星里",446
"台中市石岡區龍興里",222
"台中市神岡區三角里",883
"台中市神岡區北庄里",916
"台中市神岡區圳前里",842
"台中市神岡區圳堵里",754
"台中市神岡區大社里",1763
"台中市神岡區山皮里",343
"台中市神岡區岸裡里",980
"台中市神岡區庄前里",720
"台中市神岡區庄後里",667
"台中市神岡區新庄里",1411
"台中市神岡區溪洲里",882
"台中市神岡區社南里",1769
"台中市神岡區社口里",2445
"台中市神岡區神岡里",1169
"台中市神岡區神洲里",819
"台中市神岡區豐洲里",2552
"台中市西 區三民里",1382
"台中市西 區中興里",1621
"台中市西 區公平里",2249
"台中市西 區公德里",1970
"台中市西 區公正里",2757
"台中市西 區公民里",2156
"台中市西 區公益里",1224
"台中市西 區公舘里",2576
"台中市西 區利民里",790
"台中市西 區双龍里",1285
"台中市西 區吉龍里",2959
"台中市西 區和龍里",1113
"台中市西 區土庫里",2562
"台中市西 區大忠里",2043
"台中市西 區安龍里",1395
"台中市西 區平和里",1012
"台中市西 區廣民里",752
"台中市西 區後龍里",1721
"台中市西 區忠明里",2720
"台中市西 區忠誠里",2550
"台中市西 區昇平里",2601
"台中市西 區東昇里",1082
"台中市西 區民生里",1057
"台中市西 區民龍里",1610
"台中市西 區藍興里",1894
"台中市西屯區上安里",2461
"台中市西屯區上德里",1818
"台中市西屯區上石里",2440
"台中市西屯區何仁里",2677
"台中市西屯區何南里",1859
"台中市西屯區何厝里",1475
"台中市西屯區何安里",2295
"台中市西屯區何德里",1601
"台中市西屯區何成里",3233
"台中市西屯區何明里",1622
"台中市西屯區何源里",2702
"台中市西屯區何福里",1851
"台中市西屯區協和里",1923
"台中市西屯區大河里",1462
"台中市西屯區大石里",1046
"台中市西屯區大福里",1380
"台中市西屯區大鵬里",2069
"台中市西屯區廣福里",791
"台中市西屯區惠來里",6385
"台中市西屯區林厝里",1246
"台中市西屯區永安里",5814
"台中市西屯區港尾里",1950
"台中市西屯區潮洋里",2670
"台中市西屯區福中里",1308
"台中市西屯區福和里",1601
"台中市西屯區福安里",1194
"台中市西屯區福恩里",2157
"台中市西屯區福林里",3344
"台中市西屯區福瑞里",1426
"台中市西屯區福聯里",1529
"台中市西屯區福雅里",2646
"台中市西屯區至善里",1987
"台中市西屯區西墩里",2084
"台中市西屯區西安里",2065
"台中市西屯區西平里",2374
"台中市西屯區逢甲里",2018
"台中市西屯區逢福里",2378
"台中市西屯區鵬程里",1295
"台中市西屯區龍潭里",285
"台中市豐原區三村里",2313
"台中市豐原區下街里",317
"台中市豐原區中山里",355
"台中市豐原區中興里",1162
"台中市豐原區中陽里",2113
"台中市豐原區北湳里",1168
"台中市豐原區北陽里",4864
"台中市豐原區南嵩里",1125
"台中市豐原區南村里",2096
"台中市豐原區南田里",1175
"台中市豐原區南陽里",4085
"台中市豐原區圳寮里",498
"台中市豐原區大湳里",1036
"台中市豐原區富春里",294
"台中市豐原區朴子里",1130
"台中市豐原區東勢里",629
"台中市豐原區東湳里",1381
"台中市豐原區東陽里",517
"台中市豐原區民生里",514
"台中市豐原區田心里",2722
"台中市豐原區社皮里",3966
"台中市豐原區翁子里",1012
"台中市豐原區翁明里",871
"台中市豐原區翁社里",730
"台中市豐原區葫蘆里",269
"台中市豐原區西勢里",861
"台中市豐原區西安里",2029
"台中市豐原區西湳里",3091
"台中市豐原區豐原里",943
"台中市豐原區豐圳里",1227
"台中市豐原區豐榮里",535
"台中市豐原區豐田里",3709
"台中市豐原區豐西里",697
"台中市豐原區鎌村里",1646
"台中市豐原區陽明里",1134
"台中市豐原區頂街里",440
"台中市霧峰區丁台里",698
"台中市霧峰區中正里",826
"台中市霧峰區五福里",820
"台中市霧峰區六股里",763
"台中市霧峰區北勢里",671
"台中市霧峰區北柳里",1350
"台中市霧峰區南勢里",388
"台中市霧峰區南柳里",613
"台中市霧峰區吉峰里",3335
"台中市霧峰區四德里",787
"台中市霧峰區坑口里",1126
"台中市霧峰區峰谷里",366
"台中市霧峰區本堂里",2364
"台中市霧峰區本鄉里",916
"台中市霧峰區桐林里",430
"台中市霧峰區甲寅里",1805
"台中市霧峰區舊正里",692
"台中市霧峰區萊園里",381
"台中市霧峰區萬豐里",947
"台中市霧峰區錦榮里",461
"台中市龍井區三德里",914
"台中市龍井區南寮里",502
"台中市龍井區山腳里",2061
"台中市龍井區忠和里",1471
"台中市龍井區新庄里",2121
"台中市龍井區新東里",1963
"台中市龍井區東海里",3357
"台中市龍井區田中里",1068
"台中市龍井區福田里",320
"台中市龍井區竹坑里",1035
"台中市龍井區麗水里",797
"台中市龍井區龍崗里",908
"台中市龍井區龍東里",937
"台中市龍井區龍泉里",2683
"台中市龍井區龍津里",1563
